Codium fragile 
Filamentous Green 
Blady Ulvoid
Tubular Ulvoid

Agarum clathratum
Agarum clathratum
Alaria esculenta
Alaria esculenta
Arthrocladia villosa 
Ascophyllum nodosum
UNID Juv Laminariales
Chorda filum

Colpomenia peregrina
Leathesia marina 

Desmarestia aculeata
Desmarestia viridis 
Diatom Tube Mat
Halosiphon tomentosus
Laminaria digitata
Laminaria digitata 
Saccorhiza dermatodea
Saccorhiza dermatodea
Saccharina latissima
Saccharina latissima


Ahnfeltia plicata
Bonnemaisonia hamifera 
Chondrus crispus
Corallina officinalis 
Coccotylus truncatus 
Ceramium spp. 
Cystoclonium purpureum
Dumontia contorta 
Euthora cristata
Heterosiphonia japonica
Mastocarpus stellatus 
Palmaria palmata
Phycodrys rubens
Polysiphonia sp.
Polyides rotunda
Porphyra spp.
Ptilota serrata 
Red Algal Turf 
Spermothamnion repens 
Unidentified Filamentous Red
Unidentified Red Blade
Ectocarpus
Grinnellia americana
Champia parvula

Hildenbrandia rubra 
Clathromorphum circumscriptum
Encrusting coralline  
Lithophyllum sp. 
Leptophytum spp. 
Lithothamnion spp.
Phymatolithon spp.
Titanoderma spp. 
Unidentified Erect Coralline
