UniqueID,Latitude,Longitude,Site,Day,Month,Year,Collection Method,Transect ID,Transect Side,Quadrat,Depth,Visibility,End Latitude,End Longitude,Vocabulary,Name,CATAMI Unique Identifier,CATAMI Name,CATAMI Version,Measurement Unit,Measurement,Observer,Observer ID,Observer ID Type,Organisation,Organisation ID,Organisation ID Type,Project,Data Custodian,Data Contact email,Data Custodian ID,Data Custodian ID Type
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q0 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q0 Off,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q0 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q0 Off,8.649999999999999,3.5,42.98962,-70.61039,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q0 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q0 Off,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Saccharina latissima,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q12 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q12 Off,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q12 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q12 Off,8.649999999999999,3.5,42.98962,-70.61039,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,3,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q12 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q12 Off,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Saccharina latissima,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,5,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q18 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q18 In,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q18 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q18 In,8.649999999999999,3.5,42.98962,-70.61039,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,2,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q18 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q18 In,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Saccharina latissima,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,3,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q24 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q24 Off,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q24 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q24 Off,8.649999999999999,3.5,42.98962,-70.61039,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q24 Off,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,Off,Q24 Off,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Saccharina latissima,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q30 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q30 In,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q30 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q30 In,8.649999999999999,3.5,42.98962,-70.61039,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q30 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q30 In,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Saccharina latissima,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,9,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q6 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q6 In,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q6 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q6 In,8.649999999999999,3.5,42.98962,-70.61039,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_BROAD_COVE_Q6 In,42.9898,-70.6108,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,BROAD_COVE,In,Q6 In,8.649999999999999,3.5,42.98962,-70.61039,WORMS,Saccharina latissima,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,0,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_NORWEGIAN_COVE_Q0 Off,42.9906,-70.6115,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,NORWEGIAN_COVE,Off,Q0 Off,8.5,3,42.9909,-70.6112,WORMS,Agarum clathratum,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
KEEN_30_Example_GOOS Macroalgal Subtidal Quadrat Survey_2016_8_8_NE_APPLEDORE_NORWEGIAN_COVE_Q0 Off,42.9906,-70.6115,NE_APPLEDORE,8,8,2016,GOOS Macroalgal Subtidal Quadrat Survey,NORWEGIAN_COVE,Off,Q0 Off,8.5,3,42.9909,-70.6112,CATAMI,Macroalgae: Large canopy-forming: Brown,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Number per Unit,1,BMC,SOMEID,OceanExpert,Byrnes Lab,SOMEIDHERE,OceanExpert,KEEN_30_Example,Jarrett Byrnes,jarrett.byrnes@umb.edu,35333,OceanExpert
