UniqueID,Latitude,Longitude,Site,Day,Month,Year,Collection Method,Block,Quadrat,Shore height,Slope,Aspect,Maximum canopy height,Abiotic Substratum,Vocabulary,Species Code,Name,CATAMI Unique Identifier,CATAMI Name,CATAMI Version,Measurement Unit,Measurement,Observer,Observer ID,Observer ID Type,Organisation,Organisation ID,Organisation ID Type,Project,Data Custodian,Data Contact email,Data Custodian ID,Data Custodian ID Type
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_High_1,42.313022,70.950625,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,1,High,33,60,NA,Boulder,WORMS,FUVE,Fucus vesiculosus,80300903,Macroalgae: Erect coarse branching: Brown,1.4,Percent Cover,5.1,Laura/Liana,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_High_2,42.312926,70.950566,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,2,High,30,50,NA,Cobble,WORMS,FUVE,Fucus vesiculosus,80300903,Macroalgae: Erect coarse branching: Brown,1.4,Percent Cover,1.2,Laura/Liana,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_High_3,42.313062,70.950773,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,3,High,1,60,NA,Boulder,WORMS,FUDI,Fucus distichus,80300903,Macroalgae: Erect coarse branching: Brown,1.4,Percent Cover,1.1,McCollum,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_High_4,42.313034,70.950713,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,4,High,60,45,NA,Boulder,WORMS,FUDI,Fucus distichus,80300903,Macroalgae: Erect coarse branching: Brown,1.4,Percent Cover,3.2,McCollum,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_High_5,42.313168,70.950915,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,5,High,30,50,NA,Boulder,WORMS,FUDI,Fucus distichus,80300903,Macroalgae: Erect coarse branching: Brown,1.4,Percent Cover,35.2,Byrnes,ORCID_ID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_High_6,42.313101,70.950832,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,6,High,21,30,NA,Boulder,WORMS,FUDI,Fucus distichus,80300903,Macroalgae: Erect coarse branching: Brown,1.4,Percent Cover,54.2,Byrnes,ORCID_ID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_Low_1,42.31318,70.950312,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,1,Low,5,45,NA,Cobble,WORMS,CLCI,Clathromorphum circumscriptum,80300929,Macroalgae: Encrusting: Red: Calcareous,1.4,Percent Cover,24,Laura/Liana,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_Low_1,42.31318,70.950312,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,1,Low,5,45,NA,Cobble,WORMS,COPE,Colpomenia peregrina,80300914,Macroalgae: Globose / saccate: Brown,1.4,Percent Cover,1,Laura/Liana,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_Low_1,42.31318,70.950312,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,1,Low,5,45,NA,Cobble,WORMS,LADI,Laminaria digitata,80300901,Macroalgae: Large canopy-forming: Brown,1.4,Percent Cover,2,Laura/Liana,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
GOMON Intertidal Percent Cover Survey_2021_6_24_Rainsford_1_Low_1,42.31318,70.950312,Rainsford,24,6,2021,GOMON Intertidal Percent Cover Survey,1,1,Low,5,45,NA,Cobble,WORMS,MAST,Mastocarpus stellatus,80300903,Macroalgae: Erect coarse branching: Red,1.4,Percent Cover,14,Laura/Liana,OCEANEXPERTID,ORCID,Byrnes Lab,SOMEIDHERE,OceanExpert,Stone Living Lab Intertidal Monitoring,Jarrett Byrnes,jarrett.byrnes@umb.edu,ORCID_ID,ORCID
